id,date,transaction
0,1/1/2024,+50.00
1,1/2/2024,-25.00
2,1/3/2024,+75.50
3,1/4/2024,-30.25
4,1/5/2024,+100.00
5,1/6/2024,-50.75
6,1/7/2024,+25.25
7,1/8/2024,-15.00
8,1/9/2024,+80.00
9,1/10/2024,-20.50
10,1/11/2024,+60.75
11,1/12/2024,-35.25
12,1/13/2024,+95.25
13,1/14/2024,-40.00
14,1/15/2024,+120.00
15,1/16/2024,-55.50
16,1/17/2024,+30.00
17,1/18/2024,-25.25
18,1/19/2024,+45.75
19,1/20/2024,-10.00
20,1/21/2024,+85.50
21,1/22/2024,-60.25
22,1/23/2024,+110.00
23,1/24/2024,-75.75
24,1/25/2024,+10.25
25,1/26/2024,-5.00
26,1/27/2024,+70.00
27,1/28/2024,-40.50
28,1/29/2024,+25.75
29,1/30/2024,-15.25
30,1/31/2024,+50.00
31,2/1/2024,-25.00
32,2/2/2024,+75.50
33,2/3/2024,-30.25
34,2/4/2024,+100.00
35,2/5/2024,-50.75
36,2/6/2024,+25.25
37,2/7/2024,-15.00
38,2/8/2024,+80.00
39,2/9/2024,-20.50
40,2/10/2024,+60.75
41,2/11/2024,-35.25
42,2/12/2024,+95.25
43,2/13/2024,-40.00
44,2/14/2024,+120.00
45,2/15/2024,-55.50
46,2/16/2024,+30.00
47,2/17/2024,-25.25
48,2/18/2024,+45.75
49,2/19/2024,-10.00
50,2/20/2024,+85.50
51,2/21/2024,-60.25
52,2/22/2024,+110.00
53,2/23/2024,-75.75
54,2/24/2024,+10.25
55,2/25/2024,-5.00
56,2/26/2024,+70.00
57,2/27/2024,-40.50
58,2/28/2024,+25.75
59,2/29/2024,-15.25
60,3/1/2024,+50.00
61,3/2/2024,-25.00
62,3/3/2024,+75.50
63,3/4/2024,-30.25
64,3/5/2024,+100.00
65,3/6/2024,-50.75
66,3/7/2024,+25.25
67,3/8/2024,-15.00
68,3/9/2024,+80.00
69,3/10/2024,-20.50
70,3/11/2024,+60.75
71,3/12/2024,-35.25
72,3/13/2024,+95.25
73,3/14/2024,-40.00
74,3/15/2024,+120.00
75,3/16/2024,-55.50
76,3/17/2024,+30.00
77,3/18/2024,-25.25
78,3/19/2024,+45.75
79,3/20/2024,-10.00
80,3/21/2024,+85.50
81,3/22/2024,-60.25
82,3/23/2024,+110.00
83,3/24/2024,-75.75
84,3/25/2024,+10.25
85,3/26/2024,-5.00
86,3/27/2024,+70.00
87,3/28/2024,-40.50
88,3/29/2024,+25.75
89,3/30/2024,-15.25
90,3/31/2024,+50.00
91,4/1/2024,-25.00
92,4/2/2024,+75.50
93,4/3/2024,-30.25
94,4/4/2024,+100.00
95,4/5/2024,-50.75
96,4/6/2024,+25.25
97,4/7/2024,-15.00
98,4/8/2024,+80.00
99,4/9/2024,-20.50
